Species,Family,Country
assimilis (F.),Gryllidae,['']
simplex Haldeman,Tettigoniidae,['']
californica Newport,Pteronarcydae,['']
venatoria Latreille,Sparassidae,['']
"waikoshiemi Bertani &
Araújo",Therahosidae,['']
blondi (Latreille),Therahosidae,['']
gigantea L.,Bupestidae,"['Brazil', 'Colombia', 'Mexico']"
curvata Chevr.,Carabidae,['Mexico']
roseiventris Chevr.,Carabidae,['Mexico']
longimanus (L.),Cerambycidae,"['Colombia', 'Mexico']"
tribulus (F.),Cerambycidae,['']
spinosus (Newman),Cerambycidae,['Mexico']
c.f. rusticus (L.),Cerambycidae,['Mexico']
"rusticus montanus
(LeConte)",Cerambycidae,['Mexico']
barbatus (F.),Cerambycidae,['Mexico']
procerus Thomson,Cerambycidae,['Mexico']
stigmatica Chevr.,Cerambycidae,['Mexico']
maxillosum (Drury),Cerambycidae,['Mexico']
rogersi (Bates),Cerambycidae,['Mexico']
